date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
05/16/2020 12:00:00 AM,0,43,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/17/2020 12:00:00 AM,2,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/18/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/19/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/20/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/21/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/22/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/23/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/24/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/25/2020 12:00:00 AM,0,45,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/26/2020 12:00:00 AM,1,46,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/27/2020 12:00:00 AM,0,46,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/28/2020 12:00:00 AM,0,46,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/29/2020 12:00:00 AM,1,47,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/30/2020 12:00:00 AM,0,47,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
05/31/2020 12:00:00 AM,1,48,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/01/2020 12:00:00 AM,0,48,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/02/2020 12:00:00 AM,0,48,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/03/2020 12:00:00 AM,0,48,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/04/2020 12:00:00 AM,0,48,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/05/2020 12:00:00 AM,1,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/06/2020 12:00:00 AM,0,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/07/2020 12:00:00 AM,0,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/08/2020 12:00:00 AM,0,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/09/2020 12:00:00 AM,0,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/10/2020 12:00:00 AM,0,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/11/2020 12:00:00 AM,0,49,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/12/2020 12:00:00 AM,1,50,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/13/2020 12:00:00 AM,1,51,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/14/2020 12:00:00 AM,0,51,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/15/2020 12:00:00 AM,0,51,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/16/2020 12:00:00 AM,0,51,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/17/2020 12:00:00 AM,0,51,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/18/2020 12:00:00 AM,1,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/19/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/20/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/21/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/22/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/23/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/24/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/25/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/26/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/27/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/28/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/29/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
06/30/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/01/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/02/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/03/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/04/2020 12:00:00 AM,0,52,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/05/2020 12:00:00 AM,1,53,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/06/2020 12:00:00 AM,1,54,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/07/2020 12:00:00 AM,0,54,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/08/2020 12:00:00 AM,0,54,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/09/2020 12:00:00 AM,0,54,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/10/2020 12:00:00 AM,0,54,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/11/2020 12:00:00 AM,0,54,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/12/2020 12:00:00 AM,1,55,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/13/2020 12:00:00 AM,1,56,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/14/2020 12:00:00 AM,1,57,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/15/2020 12:00:00 AM,1,58,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/16/2020 12:00:00 AM,1,59,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/17/2020 12:00:00 AM,1,60,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/18/2020 12:00:00 AM,1,61,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/19/2020 12:00:00 AM,0,61,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/20/2020 12:00:00 AM,0,61,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/21/2020 12:00:00 AM,1,62,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/22/2020 12:00:00 AM,1,63,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/23/2020 12:00:00 AM,1,64,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/24/2020 12:00:00 AM,0,64,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/25/2020 12:00:00 AM,0,64,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/26/2020 12:00:00 AM,1,65,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/27/2020 12:00:00 AM,1,66,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/28/2020 12:00:00 AM,3,69,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/29/2020 12:00:00 AM,1,70,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/30/2020 12:00:00 AM,0,70,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
07/31/2020 12:00:00 AM,0,70,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/01/2020 12:00:00 AM,3,73,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/02/2020 12:00:00 AM,0,73,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/03/2020 12:00:00 AM,1,74,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/04/2020 12:00:00 AM,0,74,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/05/2020 12:00:00 AM,1,75,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/06/2020 12:00:00 AM,0,75,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/07/2020 12:00:00 AM,2,77,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/08/2020 12:00:00 AM,0,77,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/09/2020 12:00:00 AM,1,78,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/10/2020 12:00:00 AM,2,80,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/11/2020 12:00:00 AM,0,80,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/12/2020 12:00:00 AM,1,81,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/13/2020 12:00:00 AM,1,82,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/14/2020 12:00:00 AM,1,83,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/15/2020 12:00:00 AM,2,85,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/16/2020 12:00:00 AM,0,85,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/17/2020 12:00:00 AM,0,85,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/18/2020 12:00:00 AM,1,86,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/19/2020 12:00:00 AM,0,86,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/20/2020 12:00:00 AM,2,88,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/21/2020 12:00:00 AM,1,89,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/22/2020 12:00:00 AM,0,89,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/23/2020 12:00:00 AM,0,89,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/24/2020 12:00:00 AM,0,89,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/25/2020 12:00:00 AM,0,89,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/26/2020 12:00:00 AM,1,90,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/27/2020 12:00:00 AM,1,91,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/28/2020 12:00:00 AM,0,91,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/29/2020 12:00:00 AM,1,92,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
